project_id,delivery_id,date,sov_line_id,material_category,item_description,quantity,unit,unit_cost,total_cost,po_number,vendor,received_by,condition_notes
PRJ-2024-001,DEL-001-7b34a2,2024-04-13,PRJ-2024-001-SOV-03,Ductwork,"Spiral Duct 16""",263,LF,176.84,46509.65,PO-62186,Ferguson Supply,M. Chen,Partial shipment - backorder pending
PRJ-2024-001,DEL-001-607d3e,2024-05-13,PRJ-2024-001-SOV-04,Ductwork,"Spiral Duct 16""",55,LF,5352.03,294361.67,PO-13844,Ferguson Supply,J. Martinez,Good condition
PRJ-2024-001,DEL-001-0a1c07,2024-06-21,PRJ-2024-001-SOV-05,Piping,"PVC Sch40 4""",44,EA,1396.54,61447.58,PO-95061,Winsupply,J. Martinez,Partial shipment - backorder pending
PRJ-2024-001,DEL-001-7e22e8,2024-06-26,PRJ-2024-001-SOV-04,Ductwork,Galvanized Sheet Metal 22ga,79,SHEET,2130.13,168279.96,PO-62284,Winsupply,D. Patel,Good condition
PRJ-2024-001,DEL-001-885eab,2024-06-27,PRJ-2024-001-SOV-04,Ductwork,Galvanized Sheet Metal 20ga,51,SHEET,1902.79,97042.16,PO-43398,Carrier Enterprise,K. Thompson,Good condition
PRJ-2024-001,DEL-001-aa2700,2024-07-04,PRJ-2024-001-SOV-08,Equipment,Split System 3-Ton,9,EA,68011.35,612102.15,PO-83183,RE Michel,D. Patel,Good condition
PRJ-2024-001,DEL-001-314b9f,2024-07-06,PRJ-2024-001-SOV-09,Equipment,Chiller 200-Ton,3,EA,232900.45,698701.35,PO-81301,Carrier Enterprise,M. Chen,Good condition
PRJ-2024-001,DEL-001-72d866,2024-07-11,PRJ-2024-001-SOV-08,Equipment,Boiler 2000MBH,1,EA,104503.55,104503.55,PO-87048,Winsupply,J. Martinez,Good condition
PRJ-2024-001,DEL-001-674889,2024-07-19,PRJ-2024-001-SOV-03,Ductwork,"Flex Duct 8""",134,LF,927.13,124235.59,PO-63835,Carrier Enterprise,D. Patel,Good condition
PRJ-2024-001,DEL-001-165fce,2024-07-22,PRJ-2024-001-SOV-07,Equipment,Split System 3-Ton,17,EA,25129.91,427208.47,PO-77585,ACR Group,K. Thompson,Good condition
PRJ-2024-001,DEL-001-4f7208,2024-07-23,PRJ-2024-001-SOV-07,Equipment,FCU 2-Pipe,458,LF,573.61,262714.01,PO-18140,Winsupply,M. Chen,Good condition
PRJ-2024-001,DEL-001-556e48,2024-08-14,PRJ-2024-001-SOV-08,Equipment,"VAV Box 16""",8,EA,75416.1,603328.81,PO-94752,ACR Group,M. Chen,Good condition
PRJ-2024-001,DEL-001-913a60,2024-08-15,PRJ-2024-001-SOV-04,Ductwork,"Spiral Duct 24""",362,LF,207.31,75047.48,PO-34548,RE Michel,M. Chen,Good condition
PRJ-2024-001,DEL-001-e35416,2024-08-19,PRJ-2024-001-SOV-06,Piping,Refrigerant R-410A,39,EA,1689.39,65886.3,PO-14450,Johnstone Supply,R. Williams,Minor packaging damage - product OK
PRJ-2024-001,DEL-001-20a7df,2024-08-20,PRJ-2024-001-SOV-07,Equipment,Chiller 200-Ton,3,EA,223636.87,670910.6,PO-18609,Ferguson Supply,M. Chen,Minor packaging damage - product OK
PRJ-2024-001,DEL-001-2b861b,2024-08-22,PRJ-2024-001-SOV-04,Ductwork,"Flex Duct 12""",361,LF,463.52,167332.03,PO-42377,Ferguson Supply,R. Williams,Good condition
PRJ-2024-001,DEL-001-b2826d,2024-08-22,PRJ-2024-001-SOV-05,Piping,"Copper Type L 1""",705,LF,415.87,293191.84,PO-90333,Carrier Enterprise,M. Chen,Good condition
PRJ-2024-001,DEL-001-19fc8a,2024-09-02,PRJ-2024-001-SOV-06,Piping,"Black Steel Sch40 4""",969,LF,88.74,85984.62,PO-10881,RE Michel,K. Thompson,Good condition
PRJ-2024-001,DEL-001-f316a0,2024-09-07,PRJ-2024-001-SOV-03,Ductwork,"Spiral Duct 16""",140,LF,1687.92,236309.42,PO-34791,RE Michel,M. Chen,Partial shipment - backorder pending
PRJ-2024-001,DEL-001-f6ee32,2024-09-09,PRJ-2024-001-SOV-03,Ductwork,Hanging Hardware,47,EA,11852.46,557065.4,PO-30227,Carrier Enterprise,D. Patel,Good condition
PRJ-2024-001,DEL-001-0a8cd1,2024-09-12,PRJ-2024-001-SOV-04,Ductwork,Duct Sealant,431,LF,335.3,144514.42,PO-34851,Carrier Enterprise,J. Martinez,Good condition
PRJ-2024-001,DEL-001-9c1748,2024-09-17,PRJ-2024-001-SOV-05,Piping,"Black Steel Sch40 2""",444,LF,238.98,106108.89,PO-40425,Ferguson Supply,D. Patel,Minor packaging damage - product OK
PRJ-2024-001,DEL-001-7aeee7,2024-10-19,PRJ-2024-001-SOV-04,Ductwork,Galvanized Sheet Metal 20ga,59,SHEET,2380.31,140438.03,PO-95467,Johnstone Supply,K. Thompson,Good condition
PRJ-2024-001,DEL-001-24e833,2024-10-30,PRJ-2024-001-SOV-12,Insulation,"Pipe Insulation 1"" Armaflex",337,LF,620.48,209102.35,PO-11783,Winsupply,M. Chen,Good condition
PRJ-2024-001,DEL-001-135a20,2024-11-01,PRJ-2024-001-SOV-07,Equipment,FCU 2-Pipe,541,LF,1240.96,671360.55,PO-13364,ACR Group,D. Patel,Minor packaging damage - product OK
